epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,4747.71605821787,
0,99,,,3593.7800392253903,
0,149,,,4221.298874828047,
0,199,,,3487.3864430871013,
0,249,,,3337.1780467115964,
0,299,,,2837.7462229050616,
0,349,,,2189.8905296759567,
0,399,,,2948.0290868284906,
0,449,,,2371.975339203559,
0,499,,,1928.0758322664728,
0,549,,,2239.154806225045,
0,599,,,2323.3539737235933,
0,649,,,2583.069843969975,
0,699,,,2036.6479417882936,
0,749,,,2182.1935810357118,
0,799,,,2222.417794305721,
0,849,,,2447.4480666362506,
0,899,,,2553.485805976213,
0,949,,,2575.4875754030927,
0,999,,,2267.9952107699783,
0,1049,,,2280.072848777809,
0,1099,,,2290.422651509425,
0,1149,,,2260.6280810173507,
0,1199,,,2380.3511198396823,
0,1249,,,2392.82349611693,
0,1299,,,2259.6418898349298,
0,1349,,,2211.718403125781,
0,1399,,,2462.5908822743895,
0,1449,,,2544.4989152133203,
0,1499,,,1993.2970385931467,
0,1549,,,2551.0528891271333,
0,1599,,,2368.526786234499,
0,1649,,,2255.9827137222896,
0,1669,,,,2285.614375641403
0,1669,,2666.619827622567,,
1,1699,,,2109.2334281455587,
1,1749,,,2103.61098890968,
1,1799,,,2505.105335173883,
1,1849,,,2441.106538940371,
1,1899,,,2384.423835313655,
1,1949,,,2635.427238335228,
1,1999,,,2548.1082712508705,
1,2049,,,2595.3993260300012,
1,2099,,,2281.549846965667,
1,2149,,,2604.9491019744682,
1,2199,,,2518.505202929072,
1,2249,,,2351.6208725615224,
1,2299,,,2358.550733383562,
1,2349,,,2709.028004121043,
1,2399,,,2204.7049633065117,
1,2449,,,2990.3437055823597,
1,2499,,,2166.390866751728,
1,2549,,,2401.8039520960797,
1,2599,,,2350.0803103617873,
1,2649,,,2336.343441488624,
1,2699,,,2542.8927538120297,
1,2724,2342.961731753966,,,
