epoch,step,train_loss_step
0,49,18.097531357398243
0,99,17.896396250987326
0,149,15.538777480855362
0,199,18.30947027040875
0,249,17.794580342352056
0,299,17.75438886884828
0,349,17.46702442213644
0,399,22.292715135071347
0,449,14.970133350589286
0,499,17.95709247584059
0,549,23.2765749677301
0,599,21.55811935900646
0,649,18.707133333109596
0,699,19.860319830204418
0,749,18.733550475939495
0,799,16.26503883697854
0,849,24.036904292388265
0,899,17.3916685296769
0,949,17.516983611698723
0,999,19.180931199823846
0,1049,17.54456490579932
0,1099,18.152895867305908
0,1149,15.873004939818777
0,1199,18.023818171910584
0,1249,16.10471749752272
0,1299,17.93545083102709
0,1349,18.13005272985072
0,1399,18.450878167807318
0,1449,17.57950942402643
0,1499,13.27383749802758
0,1549,15.501979439821262
0,1599,18.83780535354933
0,1649,15.21726175303208
