epoch,step,train_loss_step
0,49,3152.213480403675
0,99,3692.474628539632
0,149,2478.1491332304868
0,199,4276.72486302511
0,249,5002.966833376608
0,299,3088.355015527247
0,349,2832.498016191215
0,399,3435.9160092104294
0,449,3156.988950125408
0,499,3180.925118170604
0,549,2662.479601047767
0,599,3150.7393642820534
0,649,3295.8650787895003
0,699,3421.2045323154725
0,749,3267.662963052624
0,799,3024.3781744553125
0,849,3157.161218523104
0,899,2945.403337459482
0,949,2816.262001264611
0,999,2428.596884077721
0,1049,2812.7006508036757
0,1099,3023.3016083796238
0,1149,3492.941269460749
0,1199,2364.7332617285583
0,1249,2283.427550839555
0,1299,3113.717383947469
0,1349,2141.0123804450195
0,1399,2832.714737455961
0,1449,2958.851623436787
0,1499,2652.263390190737
0,1549,2837.210355859123
0,1599,4656.697362712981
