epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2558.0582548785424,
0,99,,,2159.5059215902397,
0,149,,,2291.4281096880104,
0,199,,,2386.6668074259023,
0,249,,,2476.101148835938,
0,299,,,2239.585837854488,
0,349,,,1959.8384641879802,
0,399,,,2271.0690094190336,
0,449,,,2508.735548483091,
0,499,,,2208.3283606963264,
0,549,,,2328.0279223331636,
0,599,,,2798.25006971139,
0,649,,,2330.344128160866,
0,699,,,2710.1589320730127,
0,749,,,2476.4403361963987,
0,799,,,2749.441216571435,
0,849,,,1980.558025864404,
0,899,,,2065.8532819546,
0,949,,,2673.6897859706232,
0,999,,,2334.383316305445,
0,1049,,,2054.2005362398395,
0,1099,,,2521.1122448949413,
0,1149,,,2019.892051924507,
0,1199,,,2403.1004370110936,
0,1249,,,2449.411484834082,
0,1299,,,2278.653512826797,
0,1349,,,2416.7738322825057,
0,1399,,,2067.2223491766727,
0,1449,,,2033.5467851162593,
0,1499,,,2242.8913873068536,
0,1549,,,2239.12007371272,
0,1599,,,2158.549773145346,
0,1649,,,2376.4079995348225,
0,1669,,,,2273.5481879006556
0,1669,,2361.5365319899533,,
1,1699,,,2247.506167314282,
1,1749,,,2279.531832356881,
1,1799,,,2043.3266431376896,
1,1849,,,2341.2304787457283,
1,1899,,,2414.83656927865,
1,1949,,,1890.5280929423875,
1,1999,,,2634.6596627369854,
1,2049,,,2420.625404947834,
1,2099,,,2616.3929550748735,
1,2149,,,2547.979320203615,
1,2177,2315.855117320257,,,
