epoch,step,train_loss_step
0,49,36.72739089999906
0,99,41.7104575161905
0,149,35.412344707690124
0,199,39.82822715564109
0,249,40.59767331394431
0,299,36.77669182911655
0,349,43.20236915543958
0,399,36.43158052305218
0,449,39.58854305188602
0,499,39.10069925781542
0,549,41.94457698596345
0,599,42.2889977489462
0,649,38.40288809731004
0,699,41.56203272616725
0,749,42.74876008278641
0,799,39.1017893772558
0,849,44.24846658947794
0,899,42.450402583883644
0,949,41.913937126853256
0,999,38.828767626579584
0,1049,39.15791800604068
0,1099,38.57229189402675
0,1149,40.679331726582944
0,1199,42.64010620098679
0,1249,39.72822804904671
0,1299,38.72809392151446
0,1349,42.071610901899476
0,1399,43.271057537951314
0,1449,38.29189861234305
0,1499,39.5907944078011
0,1549,46.22824237129407
0,1599,43.57079543768639
0,1649,45.15983041238593
