epoch,step,train_loss_step
0,49,59.75342958675916
0,99,61.00237916977455
0,149,42.516595851752115
0,199,43.41886980004227
0,249,47.35589494368078
0,299,53.479091514915254
0,349,37.94827674161773
0,399,44.185787464452396
0,449,48.52466120042584
0,499,33.29055918673586
0,549,34.07232421598616
0,599,51.11292259648478
0,649,40.37274638711361
0,699,49.18959254194785
0,749,29.218070923655148
0,799,42.18791460913879
0,849,45.24205838801638
0,899,40.402047030002656
0,949,37.765506438581276
0,999,43.97941415480798
0,1049,29.48930837255969
0,1099,43.58007562560738
0,1149,39.41720684888799
0,1199,48.05137552714285
0,1249,45.270132637067675
0,1299,38.50147281575195
0,1349,39.25204510417888
0,1399,45.41115498621075
0,1449,42.217461962639156
0,1499,43.99174957201873
0,1549,42.11854422677295
0,1599,40.53062536386725
0,1649,39.065864924589576
0,1699,47.8090881784502
0,1749,37.49983353352155
0,1799,42.66374138872363
0,1849,39.80622298548777
0,1899,50.313759786847825
0,1949,45.65480682554604
0,1999,38.25328383118041
0,2049,46.589907428471825
0,2099,45.213205315788436
0,2149,47.73476056535131
0,2199,39.52464852973527
0,2249,37.464017552099975
0,2299,47.0985165821304
0,2349,31.815018743571013
0,2399,44.7372548117743
0,2449,46.59074401104315
0,2499,38.03089431764856
0,2549,37.29831758643873
0,2599,40.466922763803176
0,2649,38.7376311625502
0,2699,38.90661226608405
0,2749,37.36835077057508
0,2799,37.647097299149834
0,2849,45.70474756827719
0,2899,44.813754975902256
0,2949,45.665166643273594
0,2999,38.049166122992
0,3049,34.94973751107011
0,3099,43.319273959481876
