epoch,step,test_loss,train_loss_step
0,49,,35217.35320943056
0,99,,6768.757110620221
0,149,,3015.2379077907644
0,199,,2880.9417069402343
0,249,,2025.6171710984713
0,299,,2618.104701217807
0,349,,2052.5147907779865
0,399,,2175.3700754879537
0,449,,2263.043672458923
0,499,,2042.8120893077182
0,549,,2121.104074771675
0,599,,2483.9077778440383
0,649,,2085.065229774127
0,699,,2642.009040029679
0,749,,2375.998347349111
0,799,,2213.953441326057
0,849,,2597.1267337007052
0,899,,2072.8159423493444
0,949,,2036.2436374346164
0,999,,2802.632039589952
0,1049,,2156.444058339124
0,1099,,2152.9722711025165
0,1149,,2471.9768992989466
0,1179,2315.8798241792592,
